metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
vus,1714776418,1.000000,,,,,,,meu-test,,,,,,,,,
vus_max,1714776418,1.000000,,,,,,,meu-test,,,,,,,,,
vus,1714776419,1.000000,,,,,,,meu-test,,,,,,,,,
vus_max,1714776419,1.000000,,,,,,,meu-test,,,,,,,,,
vus,1714776420,1.000000,,,,,,,meu-test,,,,,,,,,
vus_max,1714776420,1.000000,,,,,,,meu-test,,,,,,,,,
vus,1714776421,1.000000,,,,,,,meu-test,,,,,,,,,
vus_max,1714776421,1.000000,,,,,,,meu-test,,,,,,,,,
vus,1714776422,1.000000,,,,,,,meu-test,,,,,,,,,
vus_max,1714776422,1.000000,,,,,,,meu-test,,,,,,,,,
http_reqs,1714776423,1.000000,,,,true,::requisição todos crocodilos,GET,meu-test,HTTP/1.1,default,,200,,tls1.3,meu-test,tipo=busca-todos,
http_req_duration,1714776423,206.662479,,,,true,::requisição todos crocodilos,GET,meu-test,HTTP/1.1,default,,200,,tls1.3,meu-test,tipo=busca-todos,
http_req_blocked,1714776423,5474.667688,,,,true,::requisição todos crocodilos,GET,meu-test,HTTP/1.1,default,,200,,tls1.3,meu-test,tipo=busca-todos,
http_req_connecting,1714776423,234.829305,,,,true,::requisição todos crocodilos,GET,meu-test,HTTP/1.1,default,,200,,tls1.3,meu-test,tipo=busca-todos,
http_req_tls_handshaking,1714776423,207.072440,,,,true,::requisição todos crocodilos,GET,meu-test,HTTP/1.1,default,,200,,tls1.3,meu-test,tipo=busca-todos,
http_req_sending,1714776423,0.045228,,,,true,::requisição todos crocodilos,GET,meu-test,HTTP/1.1,default,,200,,tls1.3,meu-test,tipo=busca-todos,
http_req_waiting,1714776423,206.548267,,,,true,::requisição todos crocodilos,GET,meu-test,HTTP/1.1,default,,200,,tls1.3,meu-test,tipo=busca-todos,
http_req_receiving,1714776423,0.068984,,,,true,::requisição todos crocodilos,GET,meu-test,HTTP/1.1,default,,200,,tls1.3,meu-test,tipo=busca-todos,
http_req_failed,1714776423,0.000000,,,,true,::requisição todos crocodilos,GET,meu-test,HTTP/1.1,default,,200,,tls1.3,meu-test,tipo=busca-todos,
checks,1714776423,1.000000,status code é 200 get all,,,,::requisição todos crocodilos,,meu-test,,default,,,,,,,
group_duration,1714776423,5681.527095,,,,,::requisição todos crocodilos,,meu-test,,default,,,,,,,
http_reqs,1714776423,1.000000,,,,true,::requisicao por id,GET,meu-test,HTTP/1.1,default,,301,,tls1.3,meu-test,tipo=busca-id,
http_req_duration,1714776423,194.160103,,,,true,::requisicao por id,GET,meu-test,HTTP/1.1,default,,301,,tls1.3,meu-test,tipo=busca-id,
http_req_blocked,1714776423,0.002081,,,,true,::requisicao por id,GET,meu-test,HTTP/1.1,default,,301,,tls1.3,meu-test,tipo=busca-id,
http_req_connecting,1714776423,0.000000,,,,true,::requisicao por id,GET,meu-test,HTTP/1.1,default,,301,,tls1.3,meu-test,tipo=busca-id,
http_req_tls_handshaking,1714776423,0.000000,,,,true,::requisicao por id,GET,meu-test,HTTP/1.1,default,,301,,tls1.3,meu-test,tipo=busca-id,
http_req_sending,1714776423,0.010051,,,,true,::requisicao por id,GET,meu-test,HTTP/1.1,default,,301,,tls1.3,meu-test,tipo=busca-id,
http_req_waiting,1714776423,194.024597,,,,true,::requisicao por id,GET,meu-test,HTTP/1.1,default,,301,,tls1.3,meu-test,tipo=busca-id,
http_req_receiving,1714776423,0.125455,,,,true,::requisicao por id,GET,meu-test,HTTP/1.1,default,,301,,tls1.3,meu-test,tipo=busca-id,
http_req_failed,1714776423,0.000000,,,,true,::requisicao por id,GET,meu-test,HTTP/1.1,default,,301,,tls1.3,meu-test,tipo=busca-id,
vus,1714776423,1.000000,,,,,,,meu-test,,,,,,,,,
vus_max,1714776423,1.000000,,,,,,,meu-test,,,,,,,,,
http_reqs,1714776423,1.000000,,,,true,::requisicao por id,GET,meu-test,HTTP/1.1,default,,200,,tls1.3,meu-test,tipo=busca-id,
http_req_duration,1714776423,215.006091,,,,true,::requisicao por id,GET,meu-test,HTTP/1.1,default,,200,,tls1.3,meu-test,tipo=busca-id,
http_req_blocked,1714776423,0.005934,,,,true,::requisicao por id,GET,meu-test,HTTP/1.1,default,,200,,tls1.3,meu-test,tipo=busca-id,
http_req_connecting,1714776423,0.000000,,,,true,::requisicao por id,GET,meu-test,HTTP/1.1,default,,200,,tls1.3,meu-test,tipo=busca-id,
http_req_tls_handshaking,1714776423,0.000000,,,,true,::requisicao por id,GET,meu-test,HTTP/1.1,default,,200,,tls1.3,meu-test,tipo=busca-id,
http_req_sending,1714776423,0.029291,,,,true,::requisicao por id,GET,meu-test,HTTP/1.1,default,,200,,tls1.3,meu-test,tipo=busca-id,
http_req_waiting,1714776423,214.866030,,,,true,::requisicao por id,GET,meu-test,HTTP/1.1,default,,200,,tls1.3,meu-test,tipo=busca-id,
http_req_receiving,1714776423,0.110770,,,,true,::requisicao por id,GET,meu-test,HTTP/1.1,default,,200,,tls1.3,meu-test,tipo=busca-id,
http_req_failed,1714776423,0.000000,,,,true,::requisicao por id,GET,meu-test,HTTP/1.1,default,,200,,tls1.3,meu-test,tipo=busca-id,
checks,1714776423,1.000000,status code é 200 get id,,,,::requisicao por id,,meu-test,,default,,,,,,,
group_duration,1714776423,409.706299,,,,,::requisicao por id,,meu-test,,default,,,,,,,
data_sent,1714776423,764.000000,,,,,,,meu-test,,default,,,,,,,
data_received,1714776423,6837.000000,,,,,,,meu-test,,default,,,,,,,
iteration_duration,1714776423,6091.312554,,,,,,,meu-test,,default,,,,,,,
iterations,1714776423,1.000000,,,,,,,meu-test,,default,,,,,,,
